Pregunta 3 ;Pregunta 4;Pregunta 5;Pregunta 6;Pregunta 7;Pregunta 8;Pregunta 9;Pregunta 10;Pregunta 11;Pregunta 12;Pregunta 13;Pregunta 14;Pregunta 15;Pregunta 16 a;Pregunta 16 b;Pregunta 16 c;Pregunta 16 d;Pregunta 16 e;Pregunta 16 f;Pregunta 16 g;Pregunta 16 h;Pregunta 16 i;Pregunta 16 j;Pregunta 16 k;Pregunta 16 l;Pregunta 16 m;Pregunta 16 n;Pregunta 16 ñ;Pregunta 16 o;Pregunta 16 p;Pregunta 16 q;Pregunta 16 r;Pregunta 16 s;Pregunta 16 t;Pregunta 16 u;Pregunta 16 v;Pregunta 17 a;Pregunta 17 b;Pregunta 17 c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Practico activamente People Analytics.;5-10;> 10;> 10;Por casualidad;Suiza;No;No;Zurich Insurance;Analítica prescriptiva (¿Como puedo hacer que suceda X?).;Sí.;Sí, se creó desde cero.;Python (Lenguaje de programación);SQL (Lenguaje de programación);R (Lenguaje de programación);;;;Microsoft Excel (Hoja de cálculo);;Power BI (Inteligencia de negocio);;;;SuccesFactors (Gestión del capital humano);Hadoop (Big Data cluster-computing framework);Spark (Big Data cluster-computing framework);Azure (Servicios de computación en la nube);;Amazon Web Services (Servicios de computación en la nube);;;;;;Analytics Edge;Wharton;O’Reilly;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH interesado en People Analytics.;;2-5;Sin experiencia;No he acabado de introducirme en la materia;España;Sí;No;Robert Walters;Analítica descriptiva (¿Que ha sucedido?).;No, quienes se dedican a People Analytics forman parte del equipo de RRHH.;No;;;;;;;;;Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH interesado en People Analytics.;;2-5;Sin experiencia;Detección de la tendencia.;España;No;No;;Analítica diagnóstica (¿Por que ha sucedido?).;No, quienes se dedican a People Analytics forman parte del equipo de RRHH.;No;;;;;;;Microsoft Excel (Hoja de cálculo);;Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;Data Analytics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un profesional de RRHH interesado en People Analytics.;;5-10;Sin experiencia;Optimizar procesos ;España;No;No;;Analítica diagnóstica (¿Por que ha sucedido?).;No, nadie se dedica en exclusiva a People Analytics.;No;;;;;;;Microsoft Excel (Hoja de cálculo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH interesado en People Analytics.;;2-5;0-2;Webinar ;España;Sí;No;Zurich Insurance;Analítica descriptiva (¿Que ha sucedido?).;No, nadie se dedica en exclusiva a People Analytics.;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH interesado en People Analytics.;0-2;0-2;0-2;En mis prácticas uno de mis compañeros tenía ese rol;España;No;No;;Analítica descriptiva (¿Que ha sucedido?).;No, quienes se dedican a People Analytics forman parte del equipo de RRHH.;No;;;;;;;Microsoft Excel (Hoja de cálculo);;Power BI (Inteligencia de negocio);;;;SuccesFactors (Gestión del capital humano);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Practico activamente People Analytics.;2-5;5-10;2-5;Desde el equipo de planificación y estrategia, planteamos la estrategia de People Analytics y montamos un proyecto alrededor que fue creciendo hasta tener el equipo que tenemos hoy;España;No;No;Telefónica;Analítica diagnóstica (¿Por que ha sucedido?).;Sí.;Sí, se creó con quienes hacían esta labor o similar en otras unidades de negocio.;Python (Lenguaje de programación);SQL (Lenguaje de programación);R (Lenguaje de programación);;;;;;Power BI (Inteligencia de negocio);;;;SuccesFactors (Gestión del capital humano);;;;;;;;;;;Wharton;AIHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy Estadístico/Matemático/Analista de Datos interesado en People Analytics.;0-2;5-10;5-10;Desde que empecé a trabajar en RRHH, en compensaciones, me llamó la atención como podía se podía aprovechar la explotación de datos en este campo;Perú ;No;No;Bbva;Analítica diagnóstica (¿Por que ha sucedido?).;Sí.;Sí, se creó desde cero.;Python (Lenguaje de programación);;;;;;;;Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Practico activamente People Analytics. ;2-5;2-5;2-5;El campo estaba emergiendo cuando comence mi carrera, asi que fue primero aprendiendo sobre el campo informalmente mientras empece con puestos en Reward y HRIS. En esos puestos empece a aplicar PA proactivamente, adaptando mi puesto a este area. Finalmente salte en 2017 a puestos de PA 100%.;Reino Unido;No;No;Legal & General;Analítica prescriptiva (¿Como puedo hacer que suceda X?).;Sí.;Sí, se creó desde cero.;;;R (Lenguaje de programación);;;SPSS (Paquete estadístico);Microsoft Excel (Hoja de cálculo);;Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;Artículos en Linkedin de People Analytics;The power of people;Estadística;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH aprendiendo People Analytics.;0-2;2-5;Sin experiencia;Por curiosidad. Quiero aprender;España;No;No;;Analítica descriptiva (¿Que ha sucedido?).;No trabajo actualmente.;No trabajo actualmente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH aprendiendo People Analytics. ;;0-2;Sin experiencia;Antes de conocer este campo o similares, decidí aprender a Python y Data Science porque quería desarrollar una herramienta AI based para detección de talento y skills. Conocí PA en un meetup a principios de año. ;España;No;No;;Analítica descriptiva (¿Que ha sucedido?).;No, quienes se dedican a People Analytics forman parte del equipo de RRHH.;No;Python (Lenguaje de programación);SQL (Lenguaje de programación);;;;SPSS (Paquete estadístico);;Tableau (Inteligencia de negocio);Power BI (Inteligencia de negocio);;;;;;Spark (Big Data cluster-computing framework);;Google Cloud Platform (Servicios de computación en la nube);;;;;;;Wharton;Datacamp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Practico activamente People Analytics. ;5-10;5-10;5-10;Fue mediante un proyecto de BI propuesto por la direccion;España;No;No;T-Systems;Analítica descriptiva (¿Que ha sucedido?).;No, quienes se dedican a People Analytics forman parte del equipo de Data Analytics/BI.;Sí, se creó desde cero.;;;R (Lenguaje de programación);;;;;;Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;power-BI;Data Analytics;QSQL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH interesado en People Analytics.;0-2;> 10;0-2;Por interés en los datos;Ecuador;No;No;;Analítica diagnóstica (¿Por que ha sucedido?).;No, nadie se dedica en exclusiva a People Analytics.;No;;;;;;;Microsoft Excel (Hoja de cálculo);;Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;LMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH interesado en People Analytics.;0-2;2-5;0-2;Tras construir unos buenos cimientos en RRHH, quiero centrar mi carrera en People Analytics. ;Estados Unidos;No;No;Warner Music Group;Analítica prescriptiva (¿Como puedo hacer que suceda X?).;No, quienes se dedican a People Analytics forman parte del equipo de RRHH.;Sí, se creó desde cero.;;;;;;;Microsoft Excel (Hoja de cálculo);;;;Workday HCM (Gestión del capital humano);;;;;;;;;;;;;Coursera;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH aprendiendo People Analytics. ;0-2;> 10;2-5;Por información en la web;Perú;No;No;;Analítica predictiva (¿Que va a suceder?).;No, nadie se dedica en exclusiva a People Analytics.;No;Python (Lenguaje de programación);;R (Lenguaje de programación);;;;;;Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;People Analytics-UCEMA;Wharton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un profesional de RRHH aprendiendo People Analytics.;0-2;0-2;0-2;Disfruté de la estadística durante mi master en Psicologia Organizacional.;Canadá;No;No;Deloitte Canada;Analítica predictiva (¿Que va a suceder?).;No, quienes se dedican a People Analytics forman parte del equipo de RRHH.;No;Python (Lenguaje de programación);SQL (Lenguaje de programación);;;;SPSS (Paquete estadístico);Microsoft Excel (Hoja de cálculo);Tableau (Inteligencia de negocio);Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un profesional de RRHH aprendiendo People Analytics.;0-2;0-2;0-2;Autodidacta ;Argentina;No;No;;Analítica descriptiva (¿Que ha sucedido?).;No, nadie se dedica en exclusiva a People Analytics.;No;;SQL (Lenguaje de programación);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un profesional de RRHH interesado en People Analytics.;;2-5;0-2;Por mi doctorado;Alemania;No;No;;Analítica descriptiva (¿Que ha sucedido?).;No, nadie se dedica en exclusiva a People Analytics.;No;;;R (Lenguaje de programación);;;SPSS (Paquete estadístico);Microsoft Excel (Hoja de cálculo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un profesional de RRHH interesado en People Analytics.;;0-2;Sin experiencia;Al entrar como técnico de selección en una empresa IT y darme cuenta de la importancia del dato y la aplicación del Big Data al área de RRHH. ;España;Sí;No;;Analítica descriptiva (¿Que ha sucedido?).;No, nadie se dedica en exclusiva a People Analytics.;No;;;;;;;Microsoft Excel (Hoja de cálculo);;Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH aprendiendo People Analytics.;0-2;5-10;Sin experiencia;Autodidacta;España;No;No;;Analítica descriptiva (¿Que ha sucedido?).;No, quienes se dedican a People Analytics forman parte del equipo de Operaciones.;No;;;R (Lenguaje de programación);;;;Microsoft Excel (Hoja de cálculo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Practico activamente People Analytics.;2-5;> 10;2-5;Me formé como Data Scientist;España;Sí;Sí;;Analítica prescriptiva (¿Como puedo hacer que suceda X?).;Sí.;Sí, se creó desde cero.;Python (Lenguaje de programación);SQL (Lenguaje de programación);;;;SPSS (Paquete estadístico);;Tableau (Inteligencia de negocio);;;;;;;;;Google Cloud Platform (Servicios de computación en la nube);Amazon Web Services (Servicios de computación en la nube);Knime (Plataforma de Data Science) ;;;;;Estadística;Machine Learning;Visualización de datos. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Practico activamente People Analytics.;5-10;> 10;2-5;Mi empresa estaba conformando un equipo y me invitaron a unirme;Estados Unidos;No;No;Travelers Insurance;Analítica predictiva (¿Que va a suceder?).;No, quienes se dedican a People Analytics forman parte del equipo de RRHH.;The HR Reporting team was expanded to include People Analytics.  It is still a joint team so I struggled with the prior question.;;;;;;SPSS (Paquete estadístico);Microsoft Excel (Hoja de cálculo);;;;Workday HCM (Gestión del capital humano);;SuccesFactors (Gestión del capital humano);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Practico activamente People Analytics.;2-5;> 10;2-5;Ya utilizaba herramientas como excel para cruzar variables y obtener insights de base de datos que realizábamos en HR. Después a través de un ERP (Oracle).;España;Sí;No;;Analítica predictiva (¿Que va a suceder?).;No, quienes se dedican a People Analytics forman parte del equipo de Data Analytics/BI.;Sí, se creó desde cero.;;;;;;SPSS (Paquete estadístico);Microsoft Excel (Hoja de cálculo);;Power BI (Inteligencia de negocio);;;Oracle HCM (Gestión del capital humano);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Practico activamente People Analytics.;0-2;5-10;0-2;Fue algo organico al cambiar de rol y empresa. Empecé en RHH y sucedió de forma natural.;Estados Unidos;No;No;;Analítica descriptiva (¿Que ha sucedido?).;No, quienes se dedican a People Analytics forman parte del equipo de RRHH.;No;;;;;;;Microsoft Excel (Hoja de cálculo);;;;;;;;;;;;;;;;;AIHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy Estadístico/Matemático/Analista de Datos interesado en People Analytics.;0-2;Sin experiencia;5-10;Por un MOOC de Plus Acumen.;Ecuador;No;No;Nodel;Analítica descriptiva (¿Que ha sucedido?).;No, nadie se dedica en exclusiva a People Analytics.;No;;;;;;;Microsoft Excel (Hoja de cálculo);;;;;;;;;;;;;;;;;People analytics de Prasad Setty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un profesional de RRHH aprendiendo People Analytics.;;2-5;Sin experiencia;Por sugerencia de mi empresa al destacar mi mente analítica .;España;No;No;Typeform ;Analítica descriptiva (¿Que ha sucedido?).;No, quienes se dedican a People Analytics forman parte del equipo de RRHH.;No;;;;;;;Microsoft Excel (Hoja de cálculo);Tableau (Inteligencia de negocio);;Looker (Inteligencia de negocio);;;;;;;;;;;;;;HR Analytics en EADA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un Estadístico/Matemático/Analista de Datos con cierta experiencia en People Analytics.;0-2;2-5;> 10;Tras unirme a una consultoría de selección.;Italia;No;No;;Analítica descriptiva (¿Que ha sucedido?).;No, quienes se dedican a People Analytics forman parte del equipo de RRHH.;No;;;;;;;Microsoft Excel (Hoja de cálculo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Practico activamente People Analytics.;> 10;> 10;> 10;Rentokil Initial me pidió ayuda para identificar a los vendedores de mayor potencial;Reino Unido;No;No;Blumberg Parnership ;Analítica prescriptiva (¿Como puedo hacer que suceda X?).;Soy consultor para otras organizaciones.;Soy consultor para otras organizaciones.;Python (Lenguaje de programación);SQL (Lenguaje de programación);R (Lenguaje de programación);Matlab (Lenguaje de programación);;SPSS (Paquete estadístico);Microsoft Excel (Hoja de cálculo);Tableau (Inteligencia de negocio);Power BI (Inteligencia de negocio);;;;;Hadoop (Big Data cluster-computing framework);Spark (Big Data cluster-computing framework);;;Amazon Web Services (Servicios de computación en la nube);;;;;Tensorflow (Biblioteca de Machine Leatning);MBA and Research methodology;Statistics in Python de Coursera;Machine Learning de Udemy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un profesional de RRHH aprendiendo People Analytics.;0-2;5-10;0-2;De casualidad.;España;Sí;No;Telefónica;Analítica diagnóstica (¿Por que ha sucedido?).;Sí.;Sí, se creó desde cero.;Python (Lenguaje de programación);SQL (Lenguaje de programación);;;;;Microsoft Excel (Hoja de cálculo);;Power BI (Inteligencia de negocio);;;;SuccesFactors (Gestión del capital humano);;;;;;;;;;;Myhrfutureacademy ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un Estadístico/Matemático/Analista de Datos con cierta experiencia en People Analytics.;0-2;0-2;2-5;Por gusto.;Colombia ;Sí;No;;Analítica diagnóstica (¿Por que ha sucedido?).;Sí.;Sí, se creó desde cero.;;SQL (Lenguaje de programación);;;;;Microsoft Excel (Hoja de cálculo);;Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;Coursera;Datacamp ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un profesional de RRHH aprendiendo People Analytics.;0-2;2-5;0-2;Interés por la analítica y después de haber tomado un curso de Power BI.;Argentina;No;No;Timbó;Analítica descriptiva (¿Que ha sucedido?).;No, nadie se dedica en exclusiva a People Analytics.;No;;SQL (Lenguaje de programación);;;;;Microsoft Excel (Hoja de cálculo);;Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un Estadístico/Matemático/Analista de Datos aprendiendo People Analytics.;0-2;Sin experiencia;2-5;Entré en una empresa a realizar un proyecto de Psicometría y a través de ello conocí este campo;España ;No;No;ISDI;Analítica descriptiva (¿Que ha sucedido?).;No, nadie se dedica en exclusiva a People Analytics.;No;;SQL (Lenguaje de programación);R (Lenguaje de programación);;;SPSS (Paquete estadístico);Microsoft Excel (Hoja de cálculo);Tableau (Inteligencia de negocio);Power BI (Inteligencia de negocio);;;;;;;;;;;;;;;Datacamp;People Analytics (UAM);Master de Metodología de las ciencias del comportamiento y la Salud (UAM)  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Investigador académico en HR Analytics.;;2-5;0-2;Es tendencia;India;No;No;;Analítica predictiva (¿Que va a suceder?).;No, es una función externalizada.;Currently don't know;Python (Lenguaje de programación);;R (Lenguaje de programación);;SAS (Lenguaje de programación);SPSS (Paquete estadístico);Microsoft Excel (Hoja de cálculo);Tableau (Inteligencia de negocio);;;;;;;;;;;;;;;;R;Python;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Practico activamente People Analytics.;2-5;2-5;5-10;Vengo del mundo de la anaítica, y pasé de finanzas a RRHH.;Estados Unidos;No;No;;Analítica descriptiva (¿Que ha sucedido?).;No, quienes se dedican a People Analytics forman parte del equipo de Operaciones de RRHH.;No;;SQL (Lenguaje de programación);;;;;Microsoft Excel (Hoja de cálculo);;;;Workday HCM (Gestión del capital humano);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Practico activamente People Analytics.;> 10;> 10;> 10;Empecé como workforce analyst en el departamente de RRHH;Estados Unidos;No;No;Carrier ;Analítica predictiva (¿Que va a suceder?).;Sí.;Sí, se creó desde cero.;;SQL (Lenguaje de programación);;;;;Microsoft Excel (Hoja de cálculo);Tableau (Inteligencia de negocio);Power BI (Inteligencia de negocio);;Workday HCM (Gestión del capital humano);;;;;;;;Knime (Plataforma de Data Science) ;;;;;Data literacy;Data visualization;Orhanizational studies ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un Estadístico/Matemático/Analista de Datos con cierta experiencia en People Analytics. ;0-2;Sin experiencia;2-5;Soy Psicóloga con máster en análisis de datos. Para las prácticas del máster escogí una plaza en un departamento de People Analytics porque me permitía introducirme en el mundo de la analítica en las empresas (la mayoría de plazas de prácticas del máster eran de investigación académica).;España;Sí;No;Instituto de Ingeniería del Conocimiento;Analítica diagnóstica (¿Por que ha sucedido?).;Sí.;Sí, se creó desde cero.;Python (Lenguaje de programación);;R (Lenguaje de programación);;;SPSS (Paquete estadístico);Microsoft Excel (Hoja de cálculo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un profesional de RRHH interesado en People Analytics.;;> 10;Sin experiencia;Durante el máster en dirección de rrhh fui descubriendo las nuevas posibilidades ofrecidas por people analytics y estoy ahora profundizando estos temas con un curso en AIHR, muy entusiasta y me encantaría poder dedicarme a PA en el futuro ;España ;No;No;;Analítica descriptiva (¿Que ha sucedido?).;Algunas funciones están compartidas con el departamento financiero ;No;;;;;;;Microsoft Excel (Hoja de cálculo);;;;;;;;;;;;;;;;;AIHR;Wharton;LMS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH con algo de experiencia en People Analytics.;0-2;> 10;0-2;Por necesidades de análisis en procesos de gestión de HR (organización y personas) de los clientes.;España;No;No;OMD HR Consulting;Analítica descriptiva (¿Que ha sucedido?).;No, quienes se dedican a People Analytics forman parte del equipo de RRHH.;Sí, se creó desde cero.;Python (Lenguaje de programación);SQL (Lenguaje de programación);;;;SPSS (Paquete estadístico);Microsoft Excel (Hoja de cálculo);;Power BI (Inteligencia de negocio);;;;;;;;;Amazon Web Services (Servicios de computación en la nube);;;OMD HCM Platform (Gestión del capital humano);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un profesional de RRHH interesado en People Analytics.;;> 10;Sin experiencia;Asistí a PAW en SFO;México;No;No;AICS;Analítica descriptiva (¿Que ha sucedido?).;No, es una función externalizada.;No;;;;;;SPSS (Paquete estadístico);;;Power BI (Inteligencia de negocio);;;;;;;;;;;;;Watson (Plataforma de Data Science);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un profesional de RRHH aprendiendo People Analytics.;0-2;2-5;0-2;Tendencia del mercado;España;Sí;No;;Analítica descriptiva (¿Que ha sucedido?).;Sí.;No;;;R (Lenguaje de programación);;;;Microsoft Excel (Hoja de cálculo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Practico activamente People Analytics.;> 10;> 10;> 10;Para demostrar como RRHH podría añadir valor de negocio;Reino Unido;No;No;HR Curator;Analítica prescriptiva (¿Como puedo hacer que suceda X?).;Soy consultor para otras organizaciones.;Soy consultor para otras organizaciones.;;;;;;;Microsoft Excel (Hoja de cálculo);Tableau (Inteligencia de negocio);Power BI (Inteligencia de negocio);;;;;;;;;;;Splash BI (Inteligencia de negocio);;;;AIHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Comienzo un máster en people analytics en unos meses.;;2-5;Sin experiencia;Estoy un poco cansado del trabajo 100% recruiting (y menos un puesto de generalista para hacer nóminas y bajas...), pero me sigue gustando RRHH, e investigando hacia donde orientar mi carrera, descubrí todo lo relacionado con people analytics, algo que si hubiera conocido desde la carrera posiblemente me hubiera interesado mucho antes... ;España;No;No;Dimática Software Development;Analítica descriptiva (¿Que ha sucedido?).;No, nadie se dedica en exclusiva a People Analytics.;Sí, se creó con quienes hacían esta labor o similar en otras unidades de negocio.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy un hombre.;Soy un profesional de RRHH aprendiendo People Analytics.;0-2;5-10;Sin experiencia;Estoy cursando un master relacionado con el analisis de datos;España;No;No;Fundacion JAB;Analítica descriptiva (¿Que ha sucedido?).;No, nadie se dedica en exclusiva a People Analytics.;No;;;;;;;;;Power BI (Inteligencia de negocio);;;;;;;Azure (Servicios de computación en la nube);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soy una mujer.;Soy un profesional de RRHH con algo de experiencia en People Analytics.;2-5;5-10;2-5;Pura casualidad. Antes de haber oído de People analytics ya empezaba a trabajar haciendo analísis con hojas de cálculo para aportar soluciones en RRHH.;Reino Unido;No;No;;Analítica prescriptiva (¿Como puedo hacer que suceda X?).;No, nadie se dedica en exclusiva a People Analytics.;No;;;;;;SPSS (Paquete estadístico);Microsoft Excel (Hoja de cálculo);;;;;;;;;;;;;;;;;Coursera;David Green Courses;Josh Bersin Courses;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
